Order ID,Purchase Date,Ship Date,Returned,Return Date,Continent,Country,City,Store ID,Store Name,Store Type,Channel,Priority,Payment Method,Promotion ID,Promotion Name,Customer ID,Customer Segment,Loyalty Tier,Salesperson ID,Salesperson Department,Product ID,SKU,Product Name,Category,Subcategory,Brand,Quantity,Unit Cost,Unit Price,Discount Amount,Tax Amount,Shipping Cost,Gross Sales,Net Sales,COGS,Gross Profit
O900236,2/27/24,2/28/24,Yes,3/2/24,North America,United States,New York,S010,Everyday Store - New York,Warehouse,Partner,Normal,Card,LOYALTY5,Loyalty 5%,C00430,Family,None,E0017,New Sales,P0033,SKU-100032,Local Men Eco (L),Clothing,Men,Local,4,82,134,43,39,0,536,493,328,165
O900279,5/7/24,5/10/24,Yes,5/12/24,North America,United States,Los Angeles,S014,Tech & Home - Los Angeles,Mall,Partner,Normal,Card,LOYALTY5,Loyalty 5%,C00059,Student,None,E0038,Customer Care,P0038,SKU-100037,Apple Tablets Max,Electronics,Tablets,Apple,3,821,1011,152,230,80,3033,2881,2463,418
O900301,2/14/24,2/17/24,Yes,2/20/24,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,Online,Normal,Wallet,LOYALTY5,Loyalty 5%,C00496,Business,Bronze,E0056,Corporate,P0167,SKU-100166,Belkin Accessories Plus,Electronics,Accessories,Belkin,1,510,848,68,117,60,848,780,510,270
O900326,7/9/24,7/12/24,Yes,7/14/24,North America,United States,Los Angeles,S014,Tech & Home - Los Angeles,Mall,Online,Low,Cash,CLEARANCE15,Clearance 15%,C00248,Family,Bronze,E0048,Customer Care,P0029,SKU-100028,Lenovo Tablets Plus,Electronics,Tablets,Lenovo,1,1261,1960,353,129,45,1960,1607,1261,346
O900338,10/2/24,,Yes,10/29/24,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,In-Store,Normal,Finance,BUNDLE12,Bundle 12%,C00417,Student,Gold,E0019,Customer Care,P0129,SKU-100128,Belkin Accessories Air,Electronics,Accessories,Belkin,2,1558,2119,636,288,0,4238,3602,3116,486
O900393,7/10/24,7/12/24,Yes,7/11/24,North America,United States,Los Angeles,S015,Main Street Retail - Los Angeles,Warehouse,Online,High,EFT,NONE,No Promotion,C00010,Budget,Gold,E0007,Upgrades,P0014,SKU-100013,Local Beverages Standard,Grocery,Beverages,Local,1,12,15,0,1,30,15,15,12,3
O900396,5/22/24,,Yes,6/20/24,Africa,South Africa,Johannesburg,S001,ValueMart - Johannesburg,High Street,In-Store,Low,Card,BUNDLE12,Bundle 12%,C00648,Business,None,E0002,Corporate,P0103,SKU-100102,Asus Laptops Plus,Electronics,Laptops,Asus,3,1103,1452,610,562,0,4356,3746,3309,437
O900398,12/7/24,,Yes,1/6/25,North America,United States,Seattle,S013,Tech & Home - Seattle,Mall,In-Store,Normal,EFT,NONE,No Promotion,C00273,Family,Silver,E0043,Customer Care,P0174,SKU-100173,Local Beverages Standard,Grocery,Beverages,Local,2,30,40,2,6,0,80,78,60,18
O900444,9/18/24,9/20/24,Yes,9/23/24,Europe,United Kingdom,London,S016,Everyday Store - London,Mall,Online,Normal,Finance,NONE,No Promotion,C00641,Business,Silver,E0067,New Sales,P0178,SKU-100177,Local Snacks Eco,Grocery,Snacks,Local,3,16,28,0,7,0,84,84,48,36
O900455,9/29/24,,Yes,10/6/24,North America,United States,Los Angeles,S014,Tech & Home - Los Angeles,Mall,In-Store,High,Card,NONE,No Promotion,C01042,Family,Bronze,E0018,Corporate,P0174,SKU-100173,Local Beverages Standard,Grocery,Beverages,Local,3,30,40,4,9,0,120,116,90,26
O900458,5/28/24,5/31/24,Yes,6/18/24,North America,United States,Chicago,S012,Main Street Retail - Chicago,Outlet,Online,High,Wallet,CLEARANCE15,Clearance 15%,C00693,Budget,Gold,E0032,New Sales,P0029,SKU-100028,Lenovo Tablets Plus,Electronics,Tablets,Lenovo,1,1261,1960,294,133,60,1960,1666,1261,405
O900470,5/6/24,,Yes,5/8/24,Africa,South Africa,Cape Town,S002,Everyday Store - Cape Town,Outlet,In-Store,Normal,Finance,NONE,No Promotion,C00226,Student,None,E0035,Corporate,P0078,SKU-100077,Philips Cleaning Value,Home,Cleaning,Philips,1,671,984,0,148,0,984,984,671,313
O900486,5/7/24,5/14/24,Yes,5/8/24,North America,United States,Seattle,S013,Tech & Home - Seattle,Mall,Online,Low,EFT,WEEKEND10,Weekend 10%,C00226,Student,None,E0002,Corporate,P0006,SKU-100005,Local Snacks Value,Grocery,Snacks,Local,1,5,8,1,1,0,8,7,5,2
O900530,5/17/24,5/23/24,Yes,6/16/24,North America,United States,Los Angeles,S015,Main Street Retail - Los Angeles,Warehouse,Partner,Normal,EFT,LOYALTY5,Loyalty 5%,C00811,Family,Bronze,E0001,Upgrades,P0106,SKU-100105,Samsung Tablets Pro,Electronics,Tablets,Samsung,1,1692,2241,112,170,45,2241,2129,1692,437
O900546,3/15/24,,Yes,4/7/24,North America,United States,Austin,S011,City Outlet - Austin,Mall,In-Store,Normal,Card,CLEARANCE15,Clearance 15%,C00381,Student,Bronze,E0046,Customer Care,P0110,SKU-100109,Google Phones Air,Electronics,Phones,Google,4,1449,2086,1252,567,0,8344,7092,5796,1296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O900549,5/1/24,,Yes,5/27/24,North America,United States,New York,S009,ValueMart - New York,Warehouse,In-Store,Normal,Card,NONE,No Promotion,C00245,Budget,Silver,E0016,Upgrades,P0108,SKU-100107,Samsung Phones Max,Electronics,Phones,Samsung,2,1522,2184,87,342,0,4368,4281,3044,1237
O900560,1/9/24,,Yes,1/31/24,Europe,United Kingdom,Manchester,S019,Everyday Store - Manchester,Mall,In-Store,Low,Card,WEEKEND10,Weekend 10%,C00210,Family,None,E0019,Customer Care,P0166,SKU-100165,Local Men Standard (M),Clothing,Men,Local,2,66,101,24,14,0,202,178,132,46
O900589,7/18/24,,Yes,8/8/24,Africa,South Africa,Pretoria,S004,Tech & Home - Pretoria,Warehouse,In-Store,Low,Card,BUNDLE12,Bundle 12%,C00854,Budget,None,E0055,Corporate,P0119,SKU-100118,Local Kids Eco (L),Clothing,Kids,Local,1,79,126,18,16,0,126,108,79,29
O900664,3/10/24,,Yes,3/24/24,Europe,United Kingdom,Birmingham,S020,Tech & Home - Birmingham,High Street,In-Store,Normal,Card,BUNDLE12,Bundle 12%,C01064,Budget,None,E0033,Upgrades,P0096,SKU-100095,Belkin Accessories Plus,Electronics,Accessories,Belkin,1,1532,2221,333,151,0,2221,1888,1532,356
O900672,12/16/24,12/17/24,Yes,12/28/24,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,Online,Normal,Card,CLEARANCE15,Clearance 15%,C00293,Budget,None,E0056,Corporate,P0072,SKU-100071,Lenovo Laptops Basic,Electronics,Laptops,Lenovo,2,1294,1564,469,213,80,3128,2659,2588,71
O900679,5/16/24,,Yes,6/5/24,North America,United States,Seattle,S013,Tech & Home - Seattle,Mall,In-Store,Low,EFT,WEEKEND10,Weekend 10%,C00126,Budget,Silver,E0009,New Sales,P0107,SKU-100106,Local Household Eco,Grocery,Household,Local,1,24,36,5,2,0,36,31,24,7
O900695,7/20/24,7/25/24,Yes,8/18/24,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,Online,Normal,EFT,LOYALTY5,Loyalty 5%,C00670,Family,Bronze,E0037,Corporate,P0103,SKU-100102,Asus Laptops Plus,Electronics,Laptops,Asus,1,1103,1452,145,196,0,1452,1307,1103,204
O900761,6/2/24,6/4/24,Yes,6/11/24,Africa,South Africa,Pretoria,S004,Tech & Home - Pretoria,Warehouse,Online,Normal,Card,LOYALTY5,Loyalty 5%,C00739,Family,Silver,E0040,New Sales,P0091,SKU-100090,Local Snacks Value,Grocery,Snacks,Local,3,16,23,6,9,0,69,63,48,15
O900816,3/29/24,4/4/24,Yes,4/8/24,Africa,South Africa,Cape Town,S002,Everyday Store - Cape Town,Outlet,Online,Normal,EFT,NONE,No Promotion,C00183,Budget,Silver,E0040,New Sales,P0049,SKU-100048,Apple Phones Plus,Electronics,Phones,Apple,3,1394,1875,281,802,45,5625,5344,4182,1162
O900824,1/19/24,1/23/24,Yes,2/1/24,Africa,South Africa,Pretoria,S004,Tech & Home - Pretoria,Warehouse,Online,Low,Card,NONE,No Promotion,C00414,Family,Silver,E0012,Customer Care,P0102,SKU-100101,Samsung Tablets Basic,Electronics,Tablets,Samsung,1,1055,1772,0,266,60,1772,1772,1055,717
O900859,7/19/24,7/23/24,Yes,8/1/24,North America,United States,Los Angeles,S014,Tech & Home - Los Angeles,Mall,Online,Low,Card,CLEARANCE15,Clearance 15%,C00354,Business,Gold,E0020,New Sales,P0170,SKU-100169,Anker Accessories Air,Electronics,Accessories,Anker,1,470,823,123,56,30,823,700,470,230
O900869,5/13/24,,Yes,6/3/24,Europe,United Kingdom,London,S017,ValueMart - London,High Street,In-Store,Low,Wallet,WEEKEND10,Weekend 10%,C00509,Business,Bronze,E0049,Customer Care,P0073,SKU-100072,Bosch Cleaning Premium,Home,Cleaning,Bosch,1,560,825,99,58,0,825,726,560,166
O900877,1/10/24,,Yes,2/2/24,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,In-Store,Normal,EFT,CLEARANCE15,Clearance 15%,C01026,Budget,None,E0041,New Sales,P0036,SKU-100035,Local Household Standard,Grocery,Household,Local,2,20,27,10,7,0,54,44,40,4
O900880,3/2/24,,Yes,3/22/24,North America,United States,Seattle,S013,Tech & Home - Seattle,Mall,In-Store,Normal,Card,CLEARANCE15,Clearance 15%,C00413,Enterprise,Silver,E0033,Upgrades,P0041,SKU-100040,Local Men Value (S),Clothing,Men,Local,3,68,109,59,21,0,327,268,204,64
O900888,7/22/24,,Yes,8/5/24,Africa,South Africa,Johannesburg,S001,ValueMart - Johannesburg,High Street,In-Store,Normal,EFT,LOYALTY5,Loyalty 5%,C01154,Budget,Silver,E0062,New Sales,P0180,SKU-100179,Anker Accessories Pro,Electronics,Accessories,Anker,3,1255,2147,322,918,0,6441,6119,3765,2354
O900898,7/26/24,7/29/24,Yes,7/27/24,Europe,United Kingdom,London,S017,ValueMart - London,High Street,Online,Normal,EFT,NONE,No Promotion,C01015,Family,None,E0019,Customer Care,P0028,SKU-100027,Local Household Eco,Grocery,Household,Local,2,28,35,0,6,30,70,70,56,14
O900900,9/1/24,,Yes,9/17/24,North America,United States,New York,S010,Everyday Store - New York,Warehouse,In-Store,Normal,Card,BUNDLE12,Bundle 12%,C00795,Student,Silver,E0048,Customer Care,P0088,SKU-100087,Local Household Value,Grocery,Household,Local,3,10,17,9,3,0,51,42,30,12
O900950,12/30/24,,Yes,1/6/25,North America,United States,Austin,S011,City Outlet - Austin,Mall,In-Store,Low,Finance,CLEARANCE15,Clearance 15%,C00636,Family,Bronze,E0065,Corporate,P0050,SKU-100049,Samsung Appliances Value,Home,Appliances,Samsung,2,1148,1352,406,184,0,2704,2298,2296,2
O900962,12/23/24,,Yes,12/29/24,Africa,South Africa,Johannesburg,S001,ValueMart - Johannesburg,High Street,In-Store,High,Card,WEEKEND10,Weekend 10%,C01107,Family,Silver,E0055,Corporate,P0039,SKU-100038,Acer Laptops Air,Electronics,Laptops,Acer,3,1226,2212,664,896,0,6636,5972,3678,2294
O900996,12/15/24,,Yes,1/1/25,Europe,United Kingdom,Manchester,S019,Everyday Store - Manchester,Mall,In-Store,Low,EFT,WEEKEND10,Weekend 10%,C00213,Family,None,E0003,New Sales,P0180,SKU-100179,Anker Accessories Pro,Electronics,Accessories,Anker,2,1255,2147,558,299,0,4294,3736,2510,1226
O901024,5/12/24,5/15/24,Yes,5/28/24,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,Online,Normal,Card,WEEKEND10,Weekend 10%,C00495,Budget,Gold,E0069,New Sales,P0019,SKU-100018,Local Men Value (L),Clothing,Men,Local,2,17,26,5,4,45,52,47,34,13
O901131,4/17/24,,Yes,4/22/24,Europe,United Kingdom,Manchester,S019,Everyday Store - Manchester,Mall,In-Store,Low,Wallet,BUNDLE12,Bundle 12%,C00225,Enterprise,Bronze,E0059,New Sales,P0083,SKU-100082,Bosch Appliances Value,Home,Appliances,Bosch,4,731,1092,524,308,0,4368,3844,2924,920
O901154,3/11/24,,Yes,3/20/24,North America,United States,Seattle,S013,Tech & Home - Seattle,Mall,In-Store,Normal,Card,LOYALTY5,Loyalty 5%,C00305,Business,Silver,E0011,Customer Care,P0112,SKU-100111,Logitech Accessories Max,Electronics,Accessories,Logitech,3,1222,1667,250,380,0,5001,4751,3666,1085
O901169,8/4/24,,Yes,9/2/24,Europe,United Kingdom,Manchester,S019,Everyday Store - Manchester,Mall,In-Store,Normal,Wallet,CLEARANCE15,Clearance 15%,C00470,Business,Silver,E0016,Upgrades,P0091,SKU-100090,Local Snacks Value,Grocery,Snacks,Local,1,16,23,4,2,0,23,19,16,3
O901173,11/18/24,11/22/24,Yes,12/7/24,Africa,South Africa,Pretoria,S004,Tech & Home - Pretoria,Warehouse,Partner,Normal,Card,BUNDLE12,Bundle 12%,C00292,Business,None,E0021,New Sales,P0099,SKU-100098,Apple Tablets Pro,Electronics,Tablets,Apple,2,927,1191,286,314,45,2382,2096,1854,242
O901000,1/2/24,1/8/24,No,,Africa,South Africa,Cape Town,S002,Everyday Store - Cape Town,Outlet,Partner,Low,Card,NONE,No Promotion,C00809,Family,Silver,E0018,Corporate,P0019,SKU-100018,Local Men Value (L),Clothing,Men,Local,3,17,26,0,12,30,78,78,51,27
O901193,5/8/24,5/13/24,Yes,6/6/24,North America,United States,New York,S009,ValueMart - New York,Warehouse,Online,Normal,Wallet,LOYALTY5,Loyalty 5%,C00190,Business,None,E0048,Customer Care,P0026,SKU-100025,Local Women Standard (S),Clothing,Women,Local,3,129,155,23,35,80,465,442,387,55
O901249,7/6/24,7/12/24,Yes,7/19/24,North America,United States,Los Angeles,S015,Main Street Retail - Los Angeles,Warehouse,Partner,Normal,EFT,NONE,No Promotion,C01128,Family,None,E0007,Upgrades,P0153,SKU-100152,Samsung Tablets Pro,Electronics,Tablets,Samsung,1,1638,2082,0,167,0,2082,2082,1638,444
O901272,3/6/24,3/12/24,Yes,3/31/24,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,Online,High,Card,CLEARANCE15,Clearance 15%,C00269,Family,Bronze,E0017,New Sales,P0057,SKU-100056,Local Snacks Eco,Grocery,Snacks,Local,1,2,4,1,0,0,4,3,2,1
O901288,3/31/24,,Yes,4/23/24,Europe,United Kingdom,Birmingham,S020,Tech & Home - Birmingham,High Street,In-Store,Low,Finance,CLEARANCE15,Clearance 15%,C00783,Student,None,E0009,New Sales,P0129,SKU-100128,Belkin Accessories Air,Electronics,Accessories,Belkin,1,1558,2119,360,141,0,2119,1759,1558,201
O901363,3/13/24,,Yes,3/25/24,Europe,United Kingdom,Manchester,S019,Everyday Store - Manchester,Mall,In-Store,Normal,Card,BUNDLE12,Bundle 12%,C00036,Family,None,E0054,Corporate,P0040,SKU-100039,Samsung Tablets Max,Electronics,Tablets,Samsung,4,1037,1494,717,421,0,5976,5259,4148,1111
O901404,4/28/24,,Yes,5/25/24,North America,United States,Austin,S011,City Outlet - Austin,Mall,In-Store,Normal,Card,WEEKEND10,Weekend 10%,C00457,Enterprise,None,E0056,Corporate,P0096,SKU-100095,Belkin Accessories Plus,Electronics,Accessories,Belkin,2,1532,2221,533,313,0,4442,3909,3064,845
O901427,1/7/24,1/14/24,Yes,1/31/24,North America,United States,Chicago,S012,Main Street Retail - Chicago,Outlet,Online,Normal,Cash,WEEKEND10,Weekend 10%,C00642,Student,None,E0065,Corporate,P0023,SKU-100022,Local Women Standard (L),Clothing,Women,Local,1,69,86,11,6,45,86,75,69,6
O901457,3/8/24,3/10/24,Yes,3/19/24,Africa,Kenya,Kisumu,S008,Tech & Home - Kisumu,Warehouse,Online,Normal,EFT,NONE,No Promotion,C00111,Student,None,E0019,Customer Care,P0105,SKU-100104,Google Phones Max,Electronics,Phones,Google,1,1092,1312,39,191,45,1312,1273,1092,181
O901485,1/13/24,1/14/24,Yes,1/29/24,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,Online,Normal,Card,CLEARANCE15,Clearance 15%,C00859,Family,Bronze,E0029,New Sales,P0113,SKU-100112,Lenovo Laptops Pro,Electronics,Laptops,Lenovo,1,607,872,131,111,80,872,741,607,134
O901510,5/27/24,6/1/24,Yes,6/6/24,Africa,Kenya,Nairobi,S006,Everyday Store - Nairobi,High Street,Online,Normal,Wallet,NONE,No Promotion,C00434,Family,None,E0015,Customer Care,P0073,SKU-100072,Bosch Cleaning Premium,Home,Cleaning,Bosch,2,560,825,0,248,45,1650,1650,1120,530
O901534,5/3/24,5/8/24,Yes,5/16/24,Africa,Kenya,Kisumu,S008,Tech & Home - Kisumu,Warehouse,Online,Normal,EFT,WEEKEND10,Weekend 10%,C00903,Enterprise,Bronze,E0021,New Sales,P0029,SKU-100028,Lenovo Tablets Plus,Electronics,Tablets,Lenovo,2,1261,1960,588,500,0,3920,3332,2522,810
O901539,7/30/24,,Yes,7/31/24,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,In-Store,Normal,Card,NONE,No Promotion,C00618,Family,None,E0001,Upgrades,P0112,SKU-100111,Logitech Accessories Max,Electronics,Accessories,Logitech,4,1222,1667,0,533,0,6668,6668,4888,1780
O901540,6/2/24,,Yes,6/11/24,Africa,South Africa,Pretoria,S004,Tech & Home - Pretoria,Warehouse,In-Store,High,EFT,WEEKEND10,Weekend 10%,C00352,Business,None,E0006,New Sales,P0145,SKU-100144,Lenovo Laptops Air,Electronics,Laptops,Lenovo,4,1852,2189,1313,1116,0,8756,7443,7408,35
O901562,1/7/24,1/12/24,Yes,1/21/24,Africa,Kenya,Kisumu,S008,Tech & Home - Kisumu,Warehouse,Online,Low,Card,WEEKEND10,Weekend 10%,C00179,Business,None,E0037,Corporate,P0071,SKU-100070,Local Beverages Standard,Grocery,Beverages,Local,2,21,26,7,7,60,52,45,42,3
O901608,4/11/24,,Yes,4/24/24,Europe,United Kingdom,London,S016,Everyday Store - London,Mall,In-Store,Normal,EFT,WEEKEND10,Weekend 10%,C01061,Business,Silver,E0048,Customer Care,P0064,SKU-100063,Logitech Accessories Plus,Electronics,Accessories,Logitech,1,1661,2008,261,140,0,2008,1747,1661,86
O901638,5/3/24,5/5/24,Yes,5/18/24,North America,United States,Austin,S011,City Outlet - Austin,Mall,Online,Normal,Card,BUNDLE12,Bundle 12%,C00565,Student,None,E0044,Customer Care,P0138,SKU-100137,Local Beverages Value,Grocery,Beverages,Local,1,5,7,1,0,0,7,6,5,1
O901642,3/11/24,3/17/24,Yes,3/23/24,North America,United States,Austin,S011,City Outlet - Austin,Mall,Partner,High,Card,BUNDLE12,Bundle 12%,C01181,Business,Silver,E0049,Customer Care,P0180,SKU-100179,Anker Accessories Pro,Electronics,Accessories,Anker,1,1255,2147,301,148,60,2147,1846,1255,591
O901677,5/27/24,6/1/24,Yes,5/30/24,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,Online,Normal,Finance,CLEARANCE15,Clearance 15%,C01093,Family,Silver,E0010,New Sales,P0150,SKU-100149,Samsung Appliances Standard,Home,Appliances,Samsung,1,854,1025,154,70,45,1025,871,854,17
O901681,11/2/24,,Yes,11/24/24,Africa,South Africa,Durban,S003,Everyday Store - Durban,Mall,In-Store,High,Card,CLEARANCE15,Clearance 15%,C00524,Business,None,E0048,Customer Care,P0052,SKU-100051,Local Women Premium (M),Clothing,Women,Local,2,113,149,54,37,0,298,244,226,18
O901697,12/17/24,,Yes,1/3/25,Europe,United Kingdom,Birmingham,S020,Tech & Home - Birmingham,High Street,In-Store,Normal,Finance,WEEKEND10,Weekend 10%,C00233,Business,Silver,E0040,New Sales,P0094,SKU-100093,Belkin Accessories Air,Electronics,Accessories,Belkin,2,1562,2138,428,308,0,4276,3848,3124,724
O901710,2/20/24,2/25/24,Yes,3/4/24,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,Online,Normal,Card,NONE,No Promotion,C00317,Business,None,E0070,Customer Care,P0026,SKU-100025,Local Women Standard (S),Clothing,Women,Local,4,129,155,19,48,30,620,601,516,85
O901727,10/14/24,10/16/24,Yes,10/19/24,North America,United States,New York,S010,Everyday Store - New York,Warehouse,Online,Normal,Cash,LOYALTY5,Loyalty 5%,C00983,Family,Bronze,E0050,Customer Care,P0071,SKU-100070,Local Beverages Standard,Grocery,Beverages,Local,4,21,26,7,8,60,104,97,84,13
O901787,8/3/24,,Yes,8/26/24,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,In-Store,Normal,Wallet,WEEKEND10,Weekend 10%,C00228,Student,Bronze,E0029,New Sales,P0071,SKU-100070,Local Beverages Standard,Grocery,Beverages,Local,4,21,26,12,7,0,104,92,84,8
O901819,7/19/24,,Yes,8/9/24,North America,United States,Los Angeles,S014,Tech & Home - Los Angeles,Mall,In-Store,Normal,Card,BUNDLE12,Bundle 12%,C00152,Family,None,E0008,Customer Care,P0170,SKU-100169,Anker Accessories Air,Electronics,Accessories,Anker,2,470,823,247,112,0,1646,1399,940,459
O901837,8/19/24,,Yes,9/14/24,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,In-Store,Normal,Finance,BUNDLE12,Bundle 12%,C00519,Family,None,E0070,Customer Care,P0100,SKU-100099,Anker Accessories Basic,Electronics,Accessories,Anker,3,813,1463,658,560,0,4389,3731,2439,1292
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O901862,6/20/24,6/24/24,Yes,7/13/24,North America,United States,Chicago,S012,Main Street Retail - Chicago,Outlet,Online,Normal,Card,NONE,No Promotion,C00583,Enterprise,Silver,E0062,New Sales,P0178,SKU-100177,Local Snacks Eco,Grocery,Snacks,Local,1,16,28,1,2,80,28,27,16,11
O901889,4/17/24,,Yes,4/23/24,Europe,United Kingdom,Birmingham,S020,Tech & Home - Birmingham,High Street,In-Store,Normal,Wallet,NONE,No Promotion,C00306,Family,Silver,E0024,Customer Care,P0089,SKU-100088,Samsung Phones Pro,Electronics,Phones,Samsung,4,766,1187,237,361,0,4748,4511,3064,1447
O901935,7/14/24,7/16/24,Yes,8/5/24,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,Partner,Normal,Card,WEEKEND10,Weekend 10%,C00592,Student,Bronze,E0049,Customer Care,P0056,SKU-100055,Google Phones Max,Electronics,Phones,Google,2,833,1014,203,274,60,2028,1825,1666,159
O901991,5/24/24,,Yes,6/21/24,North America,United States,Los Angeles,S015,Main Street Retail - Los Angeles,Warehouse,In-Store,Normal,Card,CLEARANCE15,Clearance 15%,C00057,Business,Silver,E0031,Upgrades,P0065,SKU-100064,Local Beverages Eco,Grocery,Beverages,Local,1,9,12,2,1,0,12,10,9,1
O901999,7/15/24,,Yes,7/27/24,Africa,South Africa,Johannesburg,S001,ValueMart - Johannesburg,High Street,In-Store,Normal,EFT,WEEKEND10,Weekend 10%,C00946,Business,Gold,E0053,Customer Care,P0072,SKU-100071,Lenovo Laptops Basic,Electronics,Laptops,Lenovo,2,1294,1564,469,399,0,3128,2659,2588,71
O902002,2/15/24,,Yes,3/2/24,North America,United States,Los Angeles,S014,Tech & Home - Los Angeles,Mall,In-Store,Normal,Card,LOYALTY5,Loyalty 5%,C00319,Student,None,E0009,New Sales,P0045,SKU-100044,Dyson Cleaning Standard,Home,Cleaning,Dyson,2,642,1120,179,165,0,2240,2061,1284,777
O902029,12/6/24,12/13/24,Yes,12/23/24,Africa,Kenya,Mombasa,S007,Tech & Home - Mombasa,Warehouse,Partner,Normal,Card,BUNDLE12,Bundle 12%,C00783,Student,None,E0002,Corporate,P0143,SKU-100142,Dell Laptops Pro,Electronics,Laptops,Dell,1,1018,1343,228,167,60,1343,1115,1018,97
